Timestamp,Open,High,Low,Close,Volume
2021-05-10 00:00:00+00:00,58240.83,59500.0,43825.39,46431.5,684880.148197
2021-05-17 00:00:00+00:00,46426.83,46686.0,30000.0,34655.25,1386781.052144
2021-05-24 00:00:00+00:00,34681.44,40841.0,33379.0,35641.27,786531.163941
2021-05-31 00:00:00+00:00,35641.26,39476.0,34153.84,35796.31,528299.504937
2021-06-07 00:00:00+00:00,35796.31,39380.0,31000.0,39020.57,700065.604915
2021-06-14 00:00:00+00:00,39020.56,41330.0,33336.0,35600.16,610333.962089
2021-06-21 00:00:00+00:00,35600.17,35750.0,28805.0,34700.34,907073.707598
2021-06-28 00:00:00+00:00,34702.49,36600.0,32699.0,35286.51,464791.763593
2021-07-05 00:00:00+00:00,35288.13,35293.78,32077.0,34258.99,359766.235404
2021-07-12 00:00:00+00:00,34259.0,34678.43,31020.0,31778.56,306160.987079
2021-07-19 00:00:00+00:00,31778.57,35398.0,29278.0,35381.02,383262.217154
2021-07-26 00:00:00+00:00,35381.02,42599.0,35205.78,39845.44,568598.509606
2021-08-02 00:00:00+00:00,39850.27,45310.0,37332.7,43794.37,463107.670711
2021-08-09 00:00:00+00:00,43794.36,48144.0,42779.0,46973.82,372867.979811
2021-08-16 00:00:00+00:00,46973.82,49757.04,43927.7,49239.22,357634.462155
2021-08-23 00:00:00+00:00,49239.22,50500.0,46250.0,48767.83,298905.697042
2021-08-30 00:00:00+00:00,48767.84,51900.0,46512.0,51756.88,327484.443638
2021-09-06 00:00:00+00:00,51756.88,52920.0,42843.05,46025.24,399602.39982
2021-09-13 00:00:00+00:00,46025.23,48843.2,43370.0,47241.75,289430.44387
2021-09-20 00:00:00+00:00,47241.75,47347.25,39600.0,43160.9,437174.23273
2021-09-27 00:00:00+00:00,43160.9,49228.08,40753.88,48200.01,290620.78115
2021-10-04 00:00:00+00:00,48200.01,56561.31,46891.0,54659.0,424292.258599
2021-10-11 00:00:00+00:00,54659.01,62933.0,53879.0,61528.33,362346.263174
2021-10-18 00:00:00+00:00,61528.32,67000.0,59510.63,60852.22,336367.00881
